Frame,Timestamp,Track_ID,X1,Y1,X2,Y2,Center_X,Center_Y,Zone,Confidence
48,3.666081112044604,6,404.5775941596482,212.45657054347072,469.96143876908303,333.0690347213495,437,272,Nenhuma,0.8
51,3.8952111815473915,1,414.1893377276551,111.15731340773011,483.6158644022437,247.3964056335965,448,179,Nenhuma,0.8
51,3.8952111815473915,2,6.081473626736759,114.3513328091291,73.00046462483337,246.24309087207777,39,180,Nenhuma,0.8
51,3.8952111815473915,3,114.19739240787706,57.00339979644679,171.17599519285156,147.65614302335499,142,102,Nenhuma,0.8
51,3.8952111815473915,4,473.631937797167,221.97097074902837,567.25561940016,354.44014249045307,520,288,Nenhuma,0.8
51,3.8952111815473915,6,390.06564087812404,204.53597592023664,457.08829639456206,328.087327170825,423,266,Nenhuma,0.8
54,4.124341251050179,1,414.10711402357316,111.3329044481577,488.6690210341645,260.78960261023184,451,186,Nenhuma,0.8
54,4.124341251050179,2,8.669813475400879,118.23748336194893,73.85898076148825,246.08154040128034,41,182,Nenhuma,0.8
54,4.124341251050179,3,114.12581534622127,56.36802755586148,171.66991709315315,147.8955190231554,142,102,Nenhuma,0.8
54,4.124341251050179,4,454.6376819209848,220.2282801150306,548.6973028292093,352.23092714175255,501,286,Nenhuma,0.8
54,4.124341251050179,6,379.07961322704733,197.78957218371508,449.4846688930934,328.2416661234065,414,263,Nenhuma,0.8
57,4.353471320552967,1,410.15170011239604,113.96723646940549,486.1466038956489,269.2085112524944,448,191,Nenhuma,0.8
57,4.353471320552967,2,9.32136565291811,118.84453677909724,74.41890394824284,246.02371055078618,41,182,Nenhuma,0.8
57,4.353471320552967,3,114.00300365961616,56.78981666850875,171.94889594010417,148.64385316726816,142,102,Nenhuma,0.8
57,4.353471320552967,4,436.1355715793953,216.9889911786598,530.2718782439665,348.75763701589926,483,282,Nenhuma,0.8
57,4.353471320552967,6,366.5147341802312,190.08744915967895,439.12107995561473,325.6670991334747,402,257,Nenhuma,0.8
60,4.582601390055755,1,405.75345753342265,111.08270259724408,478.1615544179833,260.04454748019924,441,185,Nenhuma,0.8
60,4.582601390055755,2,9.236843262192963,116.9473412719414,75.5906440317325,246.6804943374184,42,181,Nenhuma,0.8
60,4.582601390055755,3,114.47569201894837,56.28819102026329,172.85391232784488,148.92455182523054,143,102,Nenhuma,0.8
60,4.582601390055755,4,403.86689496786926,208.5858547711489,505.00436551284434,350.06766689822837,454,279,Nenhuma,0.8
60,4.582601390055755,6,350.3507677404217,183.42735174138866,422.0123621883462,316.7030020876093,386,250,Nenhuma,0.8
60,4.582601390055755,10,302.3069664924363,9.470390571568984,354.77876165245357,94.98285437102201,328,52,Nenhuma,0.8
63,4.811731459558542,1,403.0692364251176,110.0104137298799,469.9882628993328,245.7321590012244,436,177,Nenhuma,0.8
63,4.811731459558542,2,9.48062492472966,116.19308212204801,76.3868109815248,246.91907204757297,42,181,Nenhuma,0.8
63,4.811731459558542,3,114.4726501772383,56.09710018732814,172.71462814371597,148.3667694190588,143,102,Nenhuma,0.8
63,4.811731459558542,4,378.9086661454784,204.8376028764848,484.4552947727573,353.114995515474,431,278,Nenhuma,0.8
63,4.811731459558542,6,341.11931171479694,181.27312968749757,411.13998250929876,312.1468807160154,376,246,Nenhuma,0.8
63,4.811731459558542,10,302.0356730372985,8.32100149514578,352.907649880816,91.8954654480466,327,50,Nenhuma,0.8
66,5.04086152906133,1,405.42759059259237,107.59498633608703,468.6362696246008,232.23104397572249,437,169,Nenhuma,0.8
66,5.04086152906133,2,9.0935313427576,115.17772640554865,76.46492375728843,247.00522406086168,42,181,Nenhuma,0.8
66,5.04086152906133,3,114.62291112003597,56.02466356346083,172.50131296172714,147.48756463536026,143,101,Nenhuma,0.8
66,5.04086152906133,4,366.7321349958345,202.4248041811715,474.0260684894246,353.15691985305006,420,277,Nenhuma,0.8
66,5.04086152906133,6,329.2124085954619,175.97448828658986,399.7734378925372,307.8582111396136,364,241,Nenhuma,0.8
66,5.04086152906133,10,301.74000094073,7.963164568534275,351.72031028839456,90.92749845299497,326,49,Nenhuma,0.8
69,5.269991598564118,1,402.5435016491986,103.29427512605318,479.07162591607585,255.15577310589495,440,179,Nenhuma,0.8
69,5.269991598564118,2,9.473762210304827,115.41324741953258,76.6035596884836,247.03375971223363,43,181,Nenhuma,0.8
69,5.269991598564118,3,114.35398552704324,56.661368483851845,172.0762603742416,147.8162982333624,143,102,Nenhuma,0.8
69,5.269991598564118,4,336.8396708628871,205.30284190190218,442.58360564075826,353.8054251377895,389,279,Nenhuma,0.8
69,5.269991598564118,6,317.3055054855187,170.67584688568215,388.40689326638375,303.5695415632118,352,237,Nenhuma,0.8
69,5.269991598564118,10,301.2499824957238,7.8684282071433955,351.01409828450096,91.38905129031909,326,49,Nenhuma,0.8
69,5.269991598564118,12,467.37159756779124,205.23092248852055,567.1805768168692,355.7549507929109,517,280,Nenhuma,0.8
72,5.499121668066906,1,403.3356416637762,101.22693898223994,484.94930154095766,263.47824368168517,444,182,Nenhuma,0.8
72,5.499121668066906,2,8.758208698608811,112.79870370924324,76.82162137944786,247.04061096012032,42,179,Nenhuma,0.8
72,5.499121668066906,3,113.87971719047202,55.57580743501452,172.28522928190952,147.94051815182192,143,101,Nenhuma,0.8
72,5.499121668066906,4,324.05376367849897,193.0927373444481,433.0762844550036,348.61938921839976,378,270,Nenhuma,0.8
72,5.499121668066906,6,305.3986023849674,165.37720548477444,377.0403486308385,299.28087198681,341,232,Nenhuma,0.8
72,5.499121668066906,10,301.66561861494074,7.854353825171415,350.9137443375127,91.59302163788796,326,49,Nenhuma,0.8
72,5.499121668066906,12,451.08657095155854,202.77336596406207,553.8879349814893,356.7358500821986,502,279,Nenhuma,0.8
75,5.7282517375696935,1,403.8461152468183,99.18055381864667,487.9472407096566,267.02439388128505,445,183,Nenhuma,0.8
75,5.7282517375696935,2,8.587546052046363,111.14086661225534,76.78806064362138,246.3816778279345,42,178,Nenhuma,0.8
75,5.7282517375696935,3,114.35337428164067,56.4851554318201,171.71061247714073,147.32854079695153,143,101,Nenhuma,0.8
75,5.7282517375696935,4,320.98658906433764,200.99663755682505,425.59345850445334,351.2929063026911,373,276,Nenhuma,0.8
75,5.7282517375696935,10,302.04229763370336,7.865610359167306,350.6798534221087,91.69985723329877,326,49,Nenhuma,0.8
75,5.7282517375696935,12,438.60588815783814,196.162159711715,545.4887159584097,356.3154480851752,492,276,Nenhuma,0.8
78,5.9573818070724815,1,406.51288378493024,97.15007695872093,491.20411220384824,267.7996070988996,448,182,Nenhuma,0.8
78,5.9573818070724815,2,8.884163718489255,111.44028129973944,76.93160419458255,246.37754482908016,42,178,Nenhuma,0.8
78,5.9573818070724815,3,113.99799136060503,56.17194331731652,171.36181620555425,147.09370473088825,142,101,Nenhuma,0.8
78,5.9573818070724815,4,318.7102085514362,202.32636283799053,422.47833818099645,353.0364391571612,370,277,Nenhuma,0.8
78,5.9573818070724815,10,302.40091590290507,7.882390458810498,350.3938740916653,91.76327196051705,326,49,Nenhuma,0.8
78,5.9573818070724815,12,430.81220672133895,195.32484930103095,538.0000021750462,356.15408004060146,484,275,Nenhuma,0.8
81,6.18651187657527,1,408.0789139152596,91.89726784581171,492.6095144680556,264.8563164268923,450,178,Nenhuma,0.8
81,6.18651187657527,2,6.294461876895603,96.35514910888773,80.54137452167635,246.08238547344948,43,171,Nenhuma,0.8
81,6.18651187657527,3,114.87409371601018,58.040109197304936,170.88544602895217,146.34619594861215,142,102,Nenhuma,0.8
81,6.18651187657527,4,312.3988527388484,199.60538746876625,417.64227661239073,355.6540910690178,365,277,Nenhuma,0.8
81,6.18651187657527,10,302.7002658661139,7.898592569060689,350.8137991079574,93.15945646099803,326,50,Nenhuma,0.8
81,6.18651187657527,12,424.32989332493366,200.67482479479744,528.4271358747844,356.7743832031498,476,278,Nenhuma,0.8
84,6.415641946078057,1,408.00645177044174,86.03983030441307,489.28123782755347,254.6363869529388,448,170,Nenhuma,0.8
84,6.415641946078057,2,6.75539788523519,95.66450801035198,80.36292754225735,246.01680553590313,43,170,Nenhuma,0.8
84,6.415641946078057,3,114.94963111316417,58.07915875044162,170.96485184612197,146.0662757909196,142,102,Nenhuma,0.8
84,6.415641946078057,4,307.3966856528434,196.03028518955216,412.50887440947815,356.6409129564421,359,276,Nenhuma,0.8
84,6.415641946078057,10,302.8518206939789,7.911480760303682,350.936780386698,94.35313046086944,326,51,Nenhuma,0.8
84,6.415641946078057,12,419.5346932177466,207.6020306287446,519.574654219363,356.3033286758873,469,281,Nenhuma,0.8
87,6.644772015580845,1,409.4589798544792,82.53888871813425,487.1198651772396,245.37690649407736,448,163,Nenhuma,0.8
87,6.644772015580845,2,7.579114200116507,98.70367287703976,78.97813706270615,245.99276453575038,43,172,Nenhuma,0.8
87,6.644772015580845,3,114.91868193001338,58.0870041102507,171.053254966053,145.96829114107027,142,102,Nenhuma,0.8
87,6.644772015580845,4,305.94987291456533,190.18043273431297,412.03274463482006,356.36779987659247,358,273,Nenhuma,0.8
87,6.644772015580845,10,303.28272540178136,7.92277279569069,350.6146553371827,94.14030320868123,326,51,Nenhuma,0.8
87,6.644772015580845,12,416.0676103813694,212.22496415843858,514.3766590424402,356.8167961425985,465,284,Nenhuma,0.8
90,6.873902085083633,1,412.11328535417465,80.65475918259806,487.5016779998969,239.91158081774444,449,160,Nenhuma,0.8
90,6.873902085083633,2,4.940612211951098,100.58682811331751,76.11222270373187,246.64357595822202,40,173,Nenhuma,0.8
90,6.873902085083633,3,115.02322610673951,58.247948669419024,170.95678270574751,145.8145091168125,142,102,Nenhuma,0.8
90,6.873902085083633,4,312.0618966950207,193.1121570073953,414.8058545696354,356.24938948030945,363,274,Nenhuma,0.8
90,6.873902085083633,10,303.629224156152,8.599012897162574,350.31348258959116,94.72262481009639,326,51,Nenhuma,0.8
