Frame,Timestamp,Track_ID,X1,Y1,X2,Y2,Center_X,Center_Y,Zone,Confidence
15,1.1538461538461537,1,407.0,128.0,496.0,299.0,451,213,Nenhuma,0.8
15,1.1538461538461537,2,1.0,94.0,77.0,246.0,39,170,Nenhuma,0.8
15,1.1538461538461537,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
15,1.1538461538461537,4,536.0,237.0,620.0,353.0,578,295,Nenhuma,0.8
20,1.5384615384615385,1,407.0,128.0,496.0,299.0,451,213,Nenhuma,0.8
20,1.5384615384615385,2,0.637029674254336,94.0,76.59971914058315,246.0,38,170,Nenhuma,0.8
20,1.5384615384615385,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
20,1.5384615384615385,4,536.0,237.0,620.0,353.0,578,295,Nenhuma,0.8
25,1.9230769230769231,1,407.0,128.0,496.0,299.0,451,213,Nenhuma,0.8
25,1.9230769230769231,2,0.5366088287287099,94.0,76.45581019025218,246.0,38,170,Nenhuma,0.8
25,1.9230769230769231,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
25,1.9230769230769231,4,536.0,237.0,620.0,353.0,578,295,Nenhuma,0.8
30,2.3076923076923075,1,407.0,128.0,496.0,299.0,451,213,Nenhuma,0.8
30,2.3076923076923075,2,0.5264703963611694,94.0,76.39760771466891,246.0,38,170,Nenhuma,0.8
30,2.3076923076923075,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
30,2.3076923076923075,4,536.0,237.0,620.0,353.0,578,295,Nenhuma,0.8
35,2.6923076923076925,1,407.0,128.0,496.0,299.0,451,213,Nenhuma,0.8
35,2.6923076923076925,2,0.5462531162411963,94.0,76.36630958840405,246.0,38,170,Nenhuma,0.8
35,2.6923076923076925,3,114.0,56.0,171.0,147.0,142,101,Nenhuma,0.8
35,2.6923076923076925,4,536.0,237.0,620.0,353.0,578,295,Nenhuma,0.8
40,3.076923076923077,1,409.16212359344524,127.3105292504402,497.9747009039137,299.0,453,213,Nenhuma,0.8
40,3.076923076923077,2,0.1067082342806458,93.3105292504402,76.1220477049686,246.0,38,169,Nenhuma,0.8
