track_id,total_frames,first_frame,last_frame,duration_seconds,zones_visited,zone_details
269,16,859,874,1.1538461538461537,1,Expositor 2: 11 frames
277,15,880,894,1.0769230769230769,1,Expositor 2: 15 frames
279,76,881,956,5.769230769230769,1,Expositor 1: 76 frames
280,36,885,952,5.153846153846154,0,
285,6,899,904,0.38461538461538464,0,
286,13,903,915,0.9230769230769231,0,
287,85,903,1056,11.76923076923077,0,
291,243,960,1283,24.846153846153847,0,
294,75,964,1043,6.076923076923077,0,
295,281,974,1283,23.76923076923077,1,Expositor 1: 212 frames
297,18,977,1002,1.9230769230769231,1,Expositor 1: 18 frames
298,22,980,1001,1.6153846153846154,1,Expositor 2: 9 frames
299,35,980,1017,2.8461538461538463,1,Expositor 1: 35 frames
303,72,1004,1092,6.769230769230769,0,
304,18,1009,1030,1.6153846153846154,1,Expositor 1: 18 frames
305,16,1009,1043,2.6153846153846154,0,
307,21,1026,1047,1.6153846153846154,0,
312,186,1056,1283,17.46153846153846,1,Expositor 2: 120 frames
314,5,1060,1064,0.3076923076923077,1,Expositor 1: 5 frames
315,6,1061,1066,0.38461538461538464,1,Expositor 1: 6 frames
320,215,1067,1283,16.615384615384617,2,Expositor 1: 133 frames; Expositor 2: 72 frames
321,152,1070,1250,13.846153846153847,1,Expositor 1: 19 frames
327,73,1078,1150,5.538461538461538,0,
329,81,1085,1190,8.076923076923077,1,Expositor 1: 31 frames
345,30,1138,1167,2.230769230769231,1,Expositor 2: 4 frames
346,4,1142,1145,0.23076923076923078,1,Expositor 1: 4 frames
354,11,1160,1170,0.7692307692307693,1,Expositor 1: 5 frames
361,4,1179,1182,0.23076923076923078,0,
364,65,1219,1283,4.923076923076923,0,
366,47,1226,1283,4.384615384615385,0,
370,4,1233,1236,0.23076923076923078,0,
374,11,1244,1254,0.7692307692307693,0,
376,33,1249,1281,2.4615384615384617,0,
378,9,1262,1270,0.6153846153846154,0,
379,15,1266,1280,1.0769230769230769,0,
380,6,1272,1283,0.8461538461538461,0,
