Camera_ID,Camera_Name,Frame,Timestamp,Track_ID,X1,Y1,X2,Y2,Center_X,Center_Y,Zone,Zone_Right_Dur,Zone_Left_Dur,Crossed_Line,Confidence,Motion_Detected
camera_1,Câmera Principal,204,10.2,2,1138.7876973073096,160.738490595581,1365.2504531435866,443.54530498747135,1252,386,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,205,10.25,2,1135.6470012896284,167.4306152810297,1366.5291955140592,456.13784882879435,1251,398,Fora das Zonas,0.0,0,True,0.8,True
camera_1,Câmera Principal,206,10.3,2,1130.2929328684654,173.86336324056407,1366.993265215805,470.9185469562685,1248,411,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,207,10.35,2,1123.1396991787612,178.72734297147025,1367.629983617841,487.6123003575114,1245,425,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,208,10.4,2,1116.5061547044374,181.67175200438334,1359.7876486505245,491.9241386700366,1238,429,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,209,10.45,2,1115.8715008119507,183.901331796279,1356.4910472451038,492.98849061016574,1236,431,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,210,10.5,2,1112.4370023973643,183.86764445874434,1349.9487309232527,491.59904771845544,1231,430,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,211,10.55,2,1110.9905373018928,187.71408456488,1341.8610665833016,488.720056784413,1226,428,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,212,10.6,2,1109.2345886134578,189.67161735668242,1340.3209119228559,492.0262695357753,1224,431,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,213,10.65,2,1106.0052460247368,194.9436422161789,1339.2195323751084,502.3895881334313,1222,440,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,214,10.7,2,1104.384572449053,197.46594833132747,1338.764054638629,508.0681439059854,1221,445,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,215,10.75,2,1098.0649066706283,202.9056489085908,1341.8818982769349,529.1240918009253,1219,463,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,216,10.8,2,1095.6981389808625,210.70128402384663,1341.8731385077076,543.3755233333521,1218,476,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,217,10.85,2,1092.7716847727925,217.5074210160457,1343.429467324482,559.695637640462,1218,491,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,218,10.9,2,1092.037973052309,223.23430344194887,1335.3725942198598,556.6467179447716,1213,489,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,219,10.95,2,1088.37101167354,227.6978948306428,1334.2260658740577,564.5639428897979,1211,497,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,220,11.0,2,1084.704051676957,232.16148621933675,1333.0795361460691,572.4811678348241,1208,504,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,221,11.05,2,1081.0370930625609,236.6250776080307,1331.933005035894,580.3983927798504,1206,511,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,224,11.2,2,1073.8105971859613,242.6136121271683,1302.9905920154927,553.2217285519129,1188,491,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,225,11.25,2,1072.959409039307,247.57068001886714,1301.415390388664,554.822738183667,1187,493,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,226,11.3,2,1069.7886842978296,253.87129154623076,1296.2577726902434,557.4296599607985,1183,496,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,227,11.35,2,1061.3871050752718,260.72120523493345,1300.49911313113,582.3934254345845,1180,518,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,228,11.4,2,1053.6147372893977,266.40555283543614,1304.9019036744285,607.059378125731,1179,538,Fora das Zonas,0.0,0,False,0.8,True
camera_1,Câmera Principal,229,11.45,2,1057.318221287272,274.90649062815544,1304.5996729723233,610.5944223985588,1180,543,Inferior Direita,0.0,0,False,0.8,True
camera_1,Câmera Principal,230,11.5,2,1047.5896531000608,278.0296268659861,1310.0965570418632,637.8659779843846,1178,565,Inferior Direita,0.05000000000000071,0,False,0.8,True
camera_1,Câmera Principal,231,11.55,2,1043.803718437351,277.21654489388766,1311.0842726053866,647.2439264519276,1177,573,Inferior Direita,0.10000000000000142,0,False,0.8,True
camera_1,Câmera Principal,232,11.6,2,1044.8875920688033,281.19557873720913,1309.7295727505634,649.9227809860802,1177,576,Inferior Direita,0.15000000000000036,0,False,0.8,True
camera_1,Câmera Principal,233,11.65,2,1052.4928721929612,282.567114066864,1297.6644737664637,621.2287890166522,1175,553,Inferior Direita,0.20000000000000107,0,False,0.8,True
camera_1,Câmera Principal,234,11.7,2,1049.8822314314032,286.5825436636216,1296.0807556552463,626.6629951423276,1172,558,Inferior Direita,0.25,0,False,0.8,True
camera_1,Câmera Principal,235,11.75,2,1048.8585500178413,292.48427077011615,1301.7300085830043,640.6591051627848,1175,571,Inferior Direita,0.3000000000000007,0,False,0.8,True
camera_1,Câmera Principal,236,11.8,2,1040.2249250374216,299.57985507591366,1306.2107512578405,667.0946999406797,1173,593,Inferior Direita,0.3500000000000014,0,False,0.8,True
camera_1,Câmera Principal,237,11.85,2,1029.2483623271319,303.3898340546323,1306.0252119098168,686.8319380422847,1167,610,Inferior Direita,0.40000000000000036,0,False,0.8,True
camera_1,Câmera Principal,238,11.9,2,1027.438533308083,307.29946396865904,1309.3869615524748,700.0230147290752,1168,621,Inferior Direita,0.45000000000000107,0,False,0.8,True
camera_1,Câmera Principal,239,11.95,2,1022.5049227550904,318.342231265579,1303.4783563214628,708.0660275992952,1162,630,Inferior Direita,0.5,0,False,0.8,True
